@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {highlights,background}

@DATA
0.183454,0.050551,3.246948,0.263224,0.214453,1.902365,0.002761,0.331865,-21.229693,0.266123,-1.173576,0.030871,0.426935,0.160338,0.092345,-0.094239,0.222536,0.287155,0.064005,-0.040447,-0.055304,0.007440,0.006024,0.014585,0.005559,0.006836,0.005972,0.012232,0.007430,0.011365,0.015177,0.021418,0.010589,0.008682,0.014343,0.007282,0.034943,0.008871,0.004625,0.108949,0.000533,0.035410,0.178850,0.168298,0.190077,0.169529,0.145953,0.136395,0.141767,0.139269,0.133675,0.147066,0.139818,0.138246,0.128244,0.005152,0.004106,0.009230,0.003836,0.004197,0.003201,0.005162,0.004508,0.006504,0.010145,0.014096,0.006563,0.003525,highlights
0.204224,0.056282,3.247093,0.288600,0.221305,2.040501,0.003499,0.367291,-21.521828,-0.387191,-1.591000,-0.286095,0.132258,-0.027403,-0.229347,-0.332831,-0.010119,0.201658,-0.003943,0.016284,-0.139967,0.006474,0.004447,0.004679,0.005228,0.003756,0.005166,0.010284,0.009197,0.018443,0.012164,0.014831,0.012217,0.008844,0.035932,0.010121,0.034305,0.029166,0.017226,0.209640,0.001037,0.090231,0.325114,0.275215,0.215455,0.161272,0.181318,0.191231,0.185977,0.179977,0.171292,0.166582,0.191079,0.179536,0.163847,0.004900,0.003046,0.004258,0.003042,0.002090,0.003760,0.010364,0.006987,0.018296,0.008433,0.010107,0.009727,0.004690,highlights
0.185822,0.053936,3.234673,0.267044,0.211524,1.909066,0.003532,0.318923,-21.412807,-0.152314,-1.627293,-0.311670,-0.016214,-0.148209,-0.227937,-0.244200,0.026196,0.183959,-0.031411,-0.079088,-0.109120,0.008490,0.007416,0.006795,0.006918,0.004670,0.005701,0.008001,0.007494,0.013240,0.015395,0.013122,0.011150,0.007646,0.026632,0.007877,0.045073,0.021805,0.013329,0.191193,0.000796,0.068593,0.322122,0.323907,0.255009,0.226873,0.200492,0.203111,0.177818,0.168329,0.178305,0.185421,0.163368,0.146004,0.154725,0.006440,0.005050,0.005425,0.005102,0.002939,0.003533,0.005970,0.006725,0.011097,0.012641,0.009166,0.008358,0.003555,highlights
0.140771,0.025266,3.053878,0.237900,0.216523,1.005677,0.011435,0.264292,-24.183405,2.108869,0.153690,-0.205603,-0.396673,0.411346,0.150739,-0.012587,-0.082529,0.023051,-0.022108,-0.027769,-0.060542,0.013192,0.008031,0.016613,0.019176,0.028785,0.022477,0.022898,0.003546,0.005656,0.023641,0.017499,0.008757,0.019899,0.096664,0.020548,0.254727,0.098555,0.045697,0.594051,0.005817,0.216895,1.510917,0.651256,0.724617,0.484757,0.490495,0.325476,0.355584,0.264916,0.235292,0.226089,0.205846,0.247947,0.219038,0.016340,0.010253,0.019161,0.022660,0.024749,0.026053,0.024856,0.004681,0.005727,0.022931,0.018469,0.011258,0.008097,background
0.189903,0.027671,3.023766,0.294548,0.221982,1.276148,0.010397,0.359295,-25.182666,1.958978,0.733027,-0.279935,-0.440305,0.220308,-0.030312,0.181282,0.162091,0.019767,0.087170,0.012374,0.027409,0.012921,0.010419,0.015261,0.007683,0.021846,0.015564,0.034175,0.001145,0.008687,0.013842,0.025860,0.008433,0.020286,0.156169,0.025907,0.330194,0.151791,0.047539,0.776242,0.006543,0.281329,2.458704,0.705667,0.821418,0.532613,0.553820,0.272782,0.335337,0.286648,0.215285,0.227167,0.237016,0.192179,0.191980,0.015910,0.016903,0.018191,0.010988,0.022891,0.023694,0.032103,0.001087,0.016647,0.017237,0.031620,0.013603,0.011377,background
0.160760,0.033498,3.068144,0.255477,0.220924,1.106717,0.013864,0.295961,-24.808926,2.025365,0.341915,-0.342364,-0.355036,0.161325,-0.027479,0.192465,-0.044033,-0.116541,0.070252,-0.072670,0.013529,0.013341,0.011584,0.021444,0.015467,0.020869,0.019784,0.035439,0.002118,0.008393,0.012989,0.014875,0.006569,0.022278,0.105511,0.032381,0.301741,0.103705,0.045767,0.710271,0.009422,0.213625,2.043629,0.733016,0.787661,0.551909,0.520596,0.314532,0.320028,0.267403,0.273868,0.227630,0.259843,0.230474,0.237362,0.020779,0.016454,0.023245,0.020363,0.026424,0.026477,0.036752,0.002961,0.013698,0.013854,0.017873,0.011541,0.012178,background
0.175313,0.029337,3.046768,0.254757,0.212010,1.255500,0.010370,0.288463,-24.013056,1.647708,-0.283217,-0.209648,-0.281978,0.238990,0.021086,0.121716,-0.026663,-0.026361,0.047255,-0.015336,0.015785,0.014360,0.009804,0.017471,0.015779,0.016592,0.015972,0.020010,0.003042,0.008942,0.012518,0.011978,0.007654,0.016164,0.113876,0.024109,0.297421,0.101111,0.037564,0.637651,0.005864,0.202202,1.438876,0.752988,0.721233,0.504599,0.505254,0.346320,0.357113,0.276044,0.250084,0.252179,0.281952,0.224878,0.222126,0.018191,0.013694,0.017944,0.022779,0.018070,0.022367,0.018286,0.003839,0.013429,0.012793,0.012090,0.011506,0.009090,background
0.166826,0.041102,3.070774,0.258022,0.216112,1.194143,0.011517,0.285693,-23.502812,1.661096,-0.209363,-0.229189,-0.391848,0.130149,-0.035830,0.136920,-0.007187,0.074974,0.000408,-0.176889,-0.206637,0.021290,0.012751,0.018196,0.008085,0.010017,0.008687,0.020351,0.004907,0.005579,0.016153,0.029138,0.014144,0.020866,0.117426,0.029855,0.241188,0.106330,0.044314,0.596269,0.006064,0.213918,1.390290,0.597805,0.805398,0.511711,0.580607,0.321595,0.300163,0.266639,0.249821,0.259544,0.277832,0.277309,0.243325,0.026136,0.018016,0.020499,0.012153,0.011852,0.013078,0.022764,0.007057,0.007955,0.020350,0.030645,0.023885,0.010322,background
0.192558,0.026537,3.045730,0.271601,0.220419,1.528603,0.008028,0.330649,-23.673170,1.484977,-0.063999,-0.048265,-0.170940,0.103069,0.050369,0.172730,0.115756,-0.040126,0.083954,0.023049,0.014541,0.010712,0.016420,0.015464,0.011605,0.018288,0.011006,0.027118,0.004449,0.007358,0.013086,0.014566,0.010248,0.015350,0.126549,0.025128,0.303438,0.104907,0.037968,0.664660,0.004337,0.218013,1.370282,0.563984,0.610586,0.426324,0.417206,0.320687,0.276360,0.211378,0.219679,0.218106,0.217273,0.202220,0.196643,0.011875,0.020146,0.015009,0.012863,0.017220,0.012956,0.022468,0.007993,0.008638,0.011921,0.012954,0.013580,0.008112,background
0.210543,0.029140,3.046248,0.298393,0.231444,1.581079,0.008629,0.394278,-23.617937,1.366500,0.152731,-0.208037,-0.096999,-0.011759,0.194108,0.053904,0.115103,-0.060518,0.034500,-0.060495,-0.106410,0.014453,0.007685,0.020313,0.012898,0.012232,0.008659,0.025005,0.004355,0.011117,0.015102,0.016151,0.009872,0.016771,0.126560,0.020091,0.292338,0.106356,0.036257,0.604529,0.005011,0.215196,1.235761,0.554713,0.768923,0.537375,0.512558,0.328206,0.383855,0.206719,0.231318,0.228711,0.237687,0.243803,0.302145,0.018020,0.012135,0.022065,0.018638,0.015124,0.011479,0.024935,0.007297,0.014253,0.014428,0.017427,0.014745,0.009426,background
